[INFO 13:40:06 AirlineStress] Experiment started
[INFO 13:40:07 AirlineStress] Starting loop; rate = 1800ms; time = 30
[INFO 13:40:11 AirlineStress] Request sent; sleeping for 1800
[INFO 13:40:13 AirlineStress] Request sent; sleeping for 1800
[INFO 13:40:16 AirlineStress] Request sent; sleeping for 1800
[INFO 13:40:18 AirlineStress] Request sent; sleeping for 1800
[INFO 13:40:21 AirlineStress] Request sent; sleeping for 1800
[INFO 13:40:24 AirlineStress] Request sent; sleeping for 1800
[INFO 13:40:26 AirlineStress] Request sent; sleeping for 1800
[INFO 13:40:29 AirlineStress] Request sent; sleeping for 1800
[INFO 13:40:31 AirlineStress] Request sent; sleeping for 1800
[INFO 13:40:34 AirlineStress] Request sent; sleeping for 1800
[INFO 13:40:36 AirlineStress] Request sent; sleeping for 1800
[INFO 13:40:39 AirlineStress] Request sent; sleeping for 1800
[INFO 13:40:41 AirlineStress] Request sent; sleeping for 1800
[INFO 13:40:44 AirlineStress] Request sent; sleeping for 1800
[INFO 13:40:46 AirlineStress] Request sent; sleeping for 1800
[INFO 13:40:49 AirlineStress] Request sent; sleeping for 1800
[INFO 13:40:51 AirlineStress] Request sent; sleeping for 1800
[INFO 13:40:54 AirlineStress] Request sent; sleeping for 1800
[INFO 13:40:57 AirlineStress] Request sent; sleeping for 1800
[INFO 13:40:59 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:02 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:04 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:07 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:09 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:12 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:14 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:17 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:19 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:22 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:25 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:27 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:32 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:34 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:37 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:41 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:43 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:46 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:49 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:52 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:54 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:57 AirlineStress] Request sent; sleeping for 1800
[INFO 13:41:59 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:02 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:04 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:07 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:09 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:12 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:15 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:18 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:20 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:23 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:26 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:29 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:31 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:35 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:37 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:40 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:42 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:47 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:49 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:52 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:54 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:57 AirlineStress] Request sent; sleeping for 1800
[INFO 13:42:59 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:02 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:05 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:07 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:10 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:12 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:15 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:17 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:20 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:22 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:26 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:28 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:31 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:33 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:36 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:38 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:41 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:43 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:46 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:48 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:51 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:54 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:56 AirlineStress] Request sent; sleeping for 1800
[INFO 13:43:59 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:01 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:04 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:06 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:09 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:12 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:15 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:18 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:20 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:23 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:25 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:28 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:31 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:33 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:36 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:38 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:41 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:43 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:46 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:48 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:51 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:55 AirlineStress] Request sent; sleeping for 1800
[INFO 13:44:58 AirlineStress] Request sent; sleeping for 1800
[INFO 13:45:01 AirlineStress] Request sent; sleeping for 1800
[INFO 13:45:04 AirlineStress] Request sent; sleeping for 1800
[INFO 13:45:07 AirlineStress] Request sent; sleeping for 1800
[INFO 13:45:10 AirlineStress] Request sent; sleeping for 1800
[INFO 13:45:13 AirlineStress] Request sent; sleeping for 1800
[INFO 13:45:16 AirlineStress] Request sent; sleeping for 1800
[INFO 13:45:18 AirlineStress] Request sent; sleeping for 1800
[INFO 13:45:21 AirlineStress] Request sent; sleeping for 1800
[INFO 13:45:26 AirlineStress] Request sent; sleeping for 1800
[INFO 13:45:29 AirlineStress] Request sent; sleeping for 1800
[INFO 13:45:32 AirlineStress] Request sent; sleeping for 1800
[INFO 13:45:35 AirlineStress] Request sent; sleeping for 1800
[INFO 13:45:38 AirlineStress] Request sent; sleeping for 1800
[INFO 13:45:41 AirlineStress] Request sent; sleeping for 1800
[INFO 13:45:44 AirlineStress] Request sent; sleeping for 1800
[INFO 13:45:47 AirlineStress] Request sent; sleeping for 1800
[INFO 13:45:50 AirlineStress] Request sent; sleeping for 1800
[INFO 13:45:53 AirlineStress] Request sent; sleeping for 1800
[INFO 13:45:56 AirlineStress] Request sent; sleeping for 1800
[INFO 13:45:59 AirlineStress] Request sent; sleeping for 1800
[INFO 13:46:02 AirlineStress] Request sent; sleeping for 1800
[INFO 13:46:05 AirlineStress] Request sent; sleeping for 1800
[INFO 13:46:08 AirlineStress] Request sent; sleeping for 1800
[INFO 13:46:11 AirlineStress] Request sent; sleeping for 1800
[INFO 13:46:14 AirlineStress] Request sent; sleeping for 1800
[INFO 13:46:17 AirlineStress] Request sent; sleeping for 1800
[INFO 13:46:20 AirlineStress] Request sent; sleeping for 1800
[INFO 13:46:23 AirlineStress] Request sent; sleeping for 1800
[INFO 13:46:25 AirlineStress] Request sent; sleeping for 1800
[INFO 13:46:28 AirlineStress] Request sent; sleeping for 1800
[INFO 13:46:31 AirlineStress] Request sent; sleeping for 1800
[INFO 13:46:34 AirlineStress] Request sent; sleeping for 1800
[INFO 13:46:37 AirlineStress] Request sent; sleeping for 1800
[INFO 13:46:40 AirlineStress] Request sent; sleeping for 1800
[INFO 13:46:43 AirlineStress] Request sent; sleeping for 1800
[INFO 13:46:46 AirlineStress] Request sent; sleeping for 1800
[INFO 13:46:49 AirlineStress] Request sent; sleeping for 1800
[INFO 13:46:52 AirlineStress] Request sent; sleeping for 1800
[INFO 13:46:55 AirlineStress] Request sent; sleeping for 1800
[INFO 13:46:57 AirlineStress] Request sent; sleeping for 1800
[INFO 13:47:00 AirlineStress] Request sent; sleeping for 1800
[INFO 13:47:03 AirlineStress] Request sent; sleeping for 1800
[INFO 13:47:06 AirlineStress] Request sent; sleeping for 1800
[INFO 13:47:09 AirlineStress] Request sent; sleeping for 1800
[INFO 13:47:12 AirlineStress] Request sent; sleeping for 1800
[INFO 13:47:14 AirlineStress] Request sent; sleeping for 1800
[INFO 13:47:17 AirlineStress] Request sent; sleeping for 1800
[INFO 13:47:19 AirlineStress] Request sent; sleeping for 1800
[INFO 13:47:24 AirlineStress] Request sent; sleeping for 1800
[INFO 13:48:02 AirlineStress] Request sent; sleeping for 1800
[INFO 14:14:41 AirlineStress] Experiment started
[INFO 14:14:42 AirlineStress] Starting loop; rate = 1800ms; time = 30
[INFO 14:14:48 AirlineStress] Request sent; sleeping for 1800
[INFO 14:14:51 AirlineStress] Request sent; sleeping for 1800
[INFO 14:14:53 AirlineStress] Request sent; sleeping for 1800
[INFO 14:14:58 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:01 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:03 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:06 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:08 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:11 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:13 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:16 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:18 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:21 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:23 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:26 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:29 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:31 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:34 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:37 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:39 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:42 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:44 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:47 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:50 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:52 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:55 AirlineStress] Request sent; sleeping for 1800
[INFO 14:15:58 AirlineStress] Request sent; sleeping for 1800
[INFO 14:16:01 AirlineStress] Request sent; sleeping for 1800
[INFO 14:16:04 AirlineStress] Request sent; sleeping for 1800
[INFO 14:16:07 AirlineStress] Request sent; sleeping for 1800
[INFO 14:16:09 AirlineStress] Request sent; sleeping for 1800
[INFO 14:16:12 AirlineStress] Request sent; sleeping for 1800
[INFO 14:16:15 AirlineStress] Request sent; sleeping for 1800
[INFO 14:16:18 AirlineStress] Request sent; sleeping for 1800
[INFO 14:16:21 AirlineStress] Request sent; sleeping for 1800
[INFO 14:16:24 AirlineStress] Request sent; sleeping for 1800
[INFO 14:16:27 AirlineStress] Request sent; sleeping for 1800
[INFO 14:16:30 AirlineStress] Request sent; sleeping for 1800
[INFO 14:16:33 AirlineStress] Request sent; sleeping for 1800
